customer_tweet_id,customer_id,customer_text,response_tweet_id,brand_response
317275,191716,"Courier is showing false status, no delivery attempted, I am waiting in office, no call no attempt tracking 5180735251790",317276,"I'm sorry for the incorrect tracking with your order, call us here: [LINK] &amp; we'll be glad to help. ^MJ"
964986,326613,I have already told u I will share them. U still have not answered my question. Can u not say as a courtesy we will call u ASAP 1/2,964988,"Once you've shared your details, we'll reach out to you within 12 hours or as soon as we've an update. ^PS"
1986946,588155,Prime musicの100万曲でそこそこ満足してたけどAmazon Music Unlimitedは4000万曲以上か。想像つかんな。とりあえず30日無料みたいだし使ってみるか。,1986945,失礼いたします、Amazonです。いつもプライムをご利用いただき、ありがとうございます！ ぜひAmazon Music Unlimitedの30日間無料体験、お試しいただければと存じます。[LINK] RI
218899,167107,It means it is fake,218900,"As informed earlier, the offer is not genuine. Kindly refer to Amazon.in for genuine promotions. ^GK"
409360,212600,Amazonからクレジットカードに謎の980円の請求きてるけど注文履歴やメールに痕跡がないぞい。,409358,ご心配をおかけしております。Kindle Unlimitedをご利用されておりませんか？ 下記URLをご参照のうえ、登録状況をご確認くださいませ。なお、キャンセルも同じページより可能です。[LINK] TY
1704076,209999,why am I paying for Prime when half the things won’t ship to me. Use to do all my holiday shopping with you.. not anymore I guess.,1704071,"Oh no! We're here to help, Chris! Without providing account/personal info, could you tell us a bit more about the issue? ^VB"
1699957,515525,Ya me metí en esa página,1699958,¿Podrías indicarnos cuál compañía de transporte está encargada de la entrega de tu pedido? ^LG
526563,241852,I want Billing address to be same as Shipping address,526564,Please reach out to us from the link here: [LINK] and we will assist you accordingly. ^HR
197683,169229,Pls answer me,222890,I'm sorry for any inconvenience. I was unable to comprehend your concern. Please elaborate for us to assist you better. ^SV
1442561,454718,"El pedido es este y la info es clara: envio Prime para entregar el lunes 16 de oct, es decir, hoy. Si no se cumple, es publicidad engañosa. [LINK]",1442563,"Por motivos de seguridad, no es recomendable compartir info privada como tu # de pedido por este medio, ya que es público. (1/2)"
1619385,496415,"What kind of ""discount"" is this ? [LINK]",1619383,Know more about pricing for Amazon Global Store products here: [LINK] ^MP 2/2
279919,182719,I bought an iPhone 6 with ORDER # 408-5291468-9853153 on Sept-22nd. The product is nt delvd yet &amp; the issue is nt geting resolved,279918,"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ (2/2) ^KN"
