customer_text,true_intent,predicted_intent
That I should wait for my orders basically. I got a refund back for 2 of the orders (a different order) but never really got a proper answer for the ones that are still outstanding,REFUND_RETURN,ORDER_MANAGEMENT
Your kidding! So thursday Friday not business days? I must get job w y’all if Monday Tuesday Wednesday ur only business days! #3dayworkweek,GENERAL_COMPLAINT,DELIVERY_TRACKING
team my ordered product not delivered yet...,DELIVERY_TRACKING,DELIVERY_TRACKING
"Placed a pantry order on9th wth guarantee delivery! 2 shipments recvd , 3rd isn't delivered tracking no 937111651640",DELIVERY_TRACKING,DELIVERY_TRACKING
This is all it says on my Galaxy S7 when I try to send a document to the app. However on my tablet and via email it works perfectly fine. [LINK],PRODUCT_TECHNICAL,PRODUCT_TECHNICAL
please give me a resolution my money is stuck somewhere with Amazon pls help order 404-2396392-7886725,REFUND_RETURN,REFUND_RETURN
expected better customer service. Disappointed with how inconvenient you've made this one particular purchase for me. #amazon,GENERAL_COMPLAINT,GENERAL_COMPLAINT
"When a Christmas present I ordered from is left outside the door all night, had no idea until I answered the door this morning 😑",DELIVERY_TRACKING,DELIVERY_TRACKING
"When I get time, I am going to write the complete details of what happened. You have hired bozos and in turn harassing customers.",GENERAL_COMPLAINT,GENERAL_COMPLAINT
Not at all. She blew my off,GENERAL_COMPLAINT,GENERAL_COMPLAINT
Just wasted 15k on a defective G5S PLUS. Lost faith in Amazon &amp; Moto. *Sighs*,PRODUCT_TECHNICAL,PRIME_DIGITAL
"Hi , Thanks , but is there any offer other than Cash Load ..",PAYMENT_BILLING,GENERAL_COMPLAINT
I purchased a gift card online with a promo code for a bonus 15.00 code back. I didn't receive the code and I was given 3 different answers.,PRODUCT_TECHNICAL,PRODUCT_TECHNICAL
"pido con prime para q me llegue hoy y,sorpresa,el repartidor no me lo entrega cuand toy en casa xq no trabaja x la tarde.BRAVO!!",DELIVERY_TRACKING,PAYMENT_BILLING
"Hi, do the tickets to 'Amazon Lounge' include reserved seats inside the arena?",PRIME_DIGITAL,ORDER_MANAGEMENT
"a very long time ago amazon let people add ""ideas"" to a wishlist that acted like their own items that you could add the comments on and everything. eventually the feature to add them was taken away but existing ones still remained. now ... (1/2)",PRODUCT_TECHNICAL,ORDER_MANAGEMENT
When Spyder movie will come??,PRIME_DIGITAL,PRIME_DIGITAL
I would like an email address for escalation,ORDER_MANAGEMENT,GENERAL_COMPLAINT
It is very shameful n rediculus that Amazon launch a offer n suddenly withdraw same....finally who is sufferer?...... customer,GENERAL_COMPLAINT,GENERAL_COMPLAINT
I need someone in corporate to call me immediately!!!! #AmazonCSRarePoorlyTrained,GENERAL_COMPLAINT,GENERAL_COMPLAINT
La fecha de entrega es hoy mismo.,DELIVERY_TRACKING,DELIVERY_TRACKING
いや、注文確認メールは来たのよ お支払い番号のメールだけ来てなくてキャンセルされたのよ,PAYMENT_BILLING,GENERAL_COMPLAINT
pls add DTH recharge also in Amazon Pay !!,PRODUCT_TECHNICAL,PAYMENT_BILLING
"Apparently the call was intended for a query on my girlfriend's account, not mine, as we have a joint prime account.",ACCOUNT_SECURITY,ACCOUNT_SECURITY
Sorry but I am really not interested in doing it again n again.Pls just process my refund. So disappointing.this isn't d first time I've experienced this.Amazon is seriously failing. #shameonamazon.IL tweet everyday reminding one customer can really cost u.,REFUND_RETURN,REFUND_RETURN
Then public must get aware that how harasses people.....,GENERAL_COMPLAINT,GENERAL_COMPLAINT
packages not arriving on time. Still no refund. Wow amazon.,DELIVERY_TRACKING,REFUND_RETURN
When you want to #read and your kindle decides not to work. Wtf . Not cool.,PRODUCT_TECHNICAL,PRODUCT_TECHNICAL
I am reverting them back from yesterday but they doing is making false promises hate your site seriously,GENERAL_COMPLAINT,GENERAL_COMPLAINT
Amazonから不良品のお届けです,REFUND_RETURN,GENERAL_COMPLAINT
is only ecommercesite which in india which not returnng mony from to customr bank a/c Very unsafe wallet to keep money,REFUND_RETURN,PRIME_DIGITAL
There was an scratch on a product. That was inappropriate?,REFUND_RETURN,ORDER_MANAGEMENT
You guys have such an amazing content but it doesn't matter if you cant improve your search results,PRODUCT_TECHNICAL,GENERAL_COMPLAINT
