customer_tweet_id,customer_id,customer_text,response_tweet_id,brand_response,intent
421380,294223,Poor service from Amazon I returned a product don't get refund yet they are not respond for it order id 408-9849914-4003522,727299,Sorry to know you haven't received the refund. I'd like to look into the issue and set things right. Kindly provide 1/3 ^SH,REFUND_RETURN
685744,283696,Till what time,685743,Please be assured that we're working on it and we'll get back to you soon with an appropriate resolution. ^SY,GENERAL_COMPLAINT
2515830,138101,Just spoke to someone and amazing customer service! Best customer service out there- thank you so much!,2515832,"Thank you for the positive feedback, Kristi! I'm glad we're able to help :-) ^LH",GENERAL_COMPLAINT
1207574,295899,You guys have 2FA but instead of providing Backup codes you send SMS as a failover? What happens if my number is changed??,1207573,Seems like you had an unpleasant experience. Could you please let us know what went wrong? We’ll fix it for you. ^SY,PRODUCT_TECHNICAL
2093921,618696,"loses my parcel... They assure 2 day delivery, which is then delayed by further 4 days and then poof! They say it's lost and ask me to initiate a refund... #fail",2093919,Please drop in your details here: [LINK] ^MP 2/2,DELIVERY_TRACKING
1298984,423463,what's going on with your login? I reset 12 times it's not letting me login on amazon.ca,1298983,I'm sorry for the trouble logging in! Please reach us by phone here: [LINK] so we can look into this. ^JM,PRIME_DIGITAL
366911,202907,if I bought an item off u for £10 and wanna return it but now it's on sale for £7 how much money will I get back?,366912,"Hi Joe! That's a good question. This may vary. Depending on the reason for return, we may ask that you pay return (1/2)",REFUND_RETURN
1260166,415252,荷物が違う住所に届いている場所はどうすれば？,1260165,お問い合わせありがとうございます。恐れ入りますが、Twitter上では、ご注文内容を確認してのご案内ができないため、こちらのリンクよりカスタマーサービスまでご連絡ください。[LINK] ET,GENERAL_COMPLAINT
1600991,493500,How can we trust amazon with its delivery. Last evening I got a mesg that my product is delivered home. But nothing yet is been delivered.,1614851,I'm sorry about the unpleasant experience. Please drop in your details here: [LINK] 1/2 ^SB,ACCOUNT_SECURITY
1658734,506084,"So my quit working the other day... it says my email isn’t linked with an account, but it’s the only email I got😅",1658733,"I'm sorry for the account trouble! We'd like to look into this with you, please reach us here: [LINK] ^DW",GENERAL_COMPLAINT
428270,216862,how long does it take to investigate an acct? Acct was jacked &amp; I need access to it. Haven't heard anything in almost 2 wks.,428268,"Thanks for reaching out, Melanie! Did you reply to our Account Specialists with the information requested? Let us know! ^FD",ACCOUNT_SECURITY
476792,228316,"a ver si dejáis de trabajar con Correos Express, que son unos inútiles y al final los envíos urgentes siempre se retrasan un par de días por la inflexibilidad de sus horarios de entrega",476791,"Hola, sentimos los inconvenientes. ¿Nos podrías indicar si tienes algún pedido pendiente de entrega? ^KA",GENERAL_COMPLAINT
577694,255990,"Elle ne s'affiche plus sur mon compte Amazon, il faut donc que je rajoute les articles au panier mais la commande est aujourd'hui beaucoup plus chère",577695,Je suis désolé le prix des articles peut varier ^ME,GENERAL_COMPLAINT
1108270,381559,"Sí, hace una semana, aunque entonces también estaba temporalmente sin stock",1108269,(2/2)disponibles en el inventario . ^MB,GENERAL_COMPLAINT
424272,215988,worst service from Amazon transportation service. They are expecting customer to be in office at 9 pm to collect package delivery,424273,"Sorry about the delivery. Have you reported this to our support team: [LINK] If not, please do. ^HA",ACCOUNT_SECURITY
234218,171761,Sent an email to your support with details. Just search on google for MacBook air,234217,"Thanks! If you've shared this with our support team, we'll get back with an update. ^YP",REFUND_RETURN
2987742,823805,10月半ばに密林で注文したピンセットが未だに届かないんだが いくらなんでも遅すぎだろう ブラジルあたりから発送したのか？ [LINK],2987741,アマゾンです。予定日を過ぎても商品が届かないとのことでご迷惑をおかけしております。カスタマーサービスにて状況を確認させていただきます。お手数ですがこちらのリンクよりご連絡ください。[LINK] ET,GENERAL_COMPLAINT
986974,353883,Order# 404-4909142-9424306 ordered on 21st September. Having issues from day1 still issue not resolved. Not sure whom to contact,986973,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2)^MO",ACCOUNT_SECURITY
786545,307632,Amazonのプライム会員ってなった覚えないんだけど…クレジットから落ちてるし😠どこかで間違えてクリックしたのかもしれないけどなりすましなどだったらこわいな… さっさと退会、誘導的な仕組みも危ない気がする…,786544,なお、更新後に特典のご利用がなければ、キャンセル手続き後に全額返金いたします。こちらのヘルプページをご参照のうえお手続きください。 [LINK] RI,PRIME_DIGITAL
1009198,344471,"I'm sorry!! u r ryt I've got mail, gone thru it , but still confused that what u ppl trying to say repeatedly ?? did u get me ?? [LINK]",1009202,Delivery to certain locations isn't available due to courier restrictions. We're working on (1/2)^SQ,ORDER_MANAGEMENT
1547850,437550,"FAIL! After 8pm it updated to ""Now expected Oct 16 - Oct 19"". That's great, so had to go to the store for diapers.",1547852,I'm very sorry for the delay. Please let us know if you don't get your order by the new delivery dates. ^CL,DELIVERY_TRACKING
1261145,415443,"how am I suppose to make myself a zombie for work, if I don't have my liquid latex?",1261144,"Oh no! Sorry you're still waiting for the order! W/o posting account info, what was the original delivery date? ^DD",DELIVERY_TRACKING
123402,143570,"And not only that, when I track my order on your website.... Apparently I didn't make any. Even though I have emails and credit card receipts proving otherwise. [LINK]",123405,"I'm so sorry for the trouble tracking and receiving your order. Just to confirm, was your order placed on [LINK] Amazon.ca, or another Amazon website? ^JN",DELIVERY_TRACKING
837132,319193,These are 4 orders in last one month that got canceled! All of them were on great deals. Why list it if you can't fulfill it? [LINK],837131,reason. Request you to check for the same. 2/2 ^GK,ORDER_MANAGEMENT
398788,210308,"Hi, I have a problem with my order on amazon.it, as 1 item was missing, and another one was slightly damaged",398787,I'm sorry for this experience. Please reach out to our Customer Service here: [LINK] ^ST,ORDER_MANAGEMENT
1708616,204354,検討します！,1708615,(o^-’)b ｸﾞｯ! TY,PRIME_DIGITAL
995403,225096,Seems to be yeah. Any known issues when syncing the iCloud calendars?,995400,"Hmm, let's do some live troubleshooting together. Please reach out to us by phone or chat here: [LINK] ^TG",PAYMENT_BILLING
2120961,624911,I messaged you about someone who ordered a product w me and accidentally put the wrong address and is trying to change it,2120967,"OK, I understand, she will need to contact us if she is having an issue accessing her account. ^AS",DELIVERY_TRACKING
2930056,810548,"I have already remind them two times, but there is no response from your side",2930058,I'm sorry for the unpleasant experience. Please fill this form: [LINK] and we'll get back to you soon. ^SI,PRODUCT_TECHNICAL
311333,145909,"order a book, when i tried to track it shows delivered to tamanna i don't know who she is not in my contact [LINK]",311332,I'm sorry about the conflicting tracking update. Kindly reach out to us here: [LINK] and we'll check it. ^GK,GENERAL_COMPLAINT
1585035,487713,"ordered 2 kindle, i must say delivery was way late and app was showing delivered yesterday but received today",1585034,We're sorry for the unpleasant experience. We've forwarded this internally. We'll work towards improving our services. ^ZH,ORDER_MANAGEMENT
1140910,388555,Yeah they did,1140909,What information was provided by USPS? ^DD,PAYMENT_BILLING
418805,214888,"sorry, i can't contact you because i'm from Indonesia XD",418806,Have you been in touch with us via chat or email here: [LINK] ?^CD,GENERAL_COMPLAINT
