customer_tweet_id,customer_id,customer_text,response_tweet_id,brand_response
2928376,810140,Ok I understand I will send it in message.,2928378,I understand your concern about the refund. Please reach us from the link provided. We'll check your details and help you further accordingly. ^SV
327567,194089,Then public must get aware that how harasses people.....,327569,I can imagine the disappointment. Please contact our support team using the link shared earlier and we'll be glad to help you. ^AS
33285,123356,Hallo Kann es sein das eure Seite derzeit nicht abrufbar ist?,33283,Uns ist kein Problem bekannt. Auf welchem Gerät versuchst du es denn? Neustart schon einmal probiert? ^DW
352609,199842,waiting from first day of #greatindiansale.. but not upset because Amazon is best..,352611,Thank you for your understanding. Hope you take advantage of other deals. ^VN
422955,215576,I have providedall detail to your customer care exucative. At least 20 times do check them with email I'd __email__.,422957,Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA 3/3
1919843,576784,Direto do Brazil (Impostos) ou importado?,1939002,"Oi, vai depender do vendedor externo do produto que você gostaria de comprar, Dan. ^LG"
1798376,540366,"has ruined my day, ruined my gift, and ruined my mood, because Amazon doesn't know how to count days for shipping, just your cash.",1798375,I'm sorry for the trouble with your order! Did we miss the initial delivery date provided here: [LINK] ^ST
1021626,121296,I have had some payments to Amazon taken from my bank account but I don’t know what they are for? Can you help?,1021624,"Without providing account specifics, can you please tell us the amount and the title of the item on your bank statement? ^ST"
2302059,668070,"Um die Zeit sitzt bei euch noch jemand, um Tweets stante pede zu beantworten? Nicht schlecht. Ich hoffe, freiwillig und ordentlich bezahlt 🧐",2304135,Wir machen das täglich und gerne zwischen 6.00 Uhr 24.00 Uhr :) ^BL
2935854,811660,Best notification I got all week so far has been from telling me my books are arriving tomorrow. I know what I'm doing this weekend.,2935853,So happy for you Julio :) Hope you'll enjoy your new books.^MA
2465579,705575,My account Yasser. __email__,2465582,"Kindly reach out to our support team here: [LINK] and we'll assist you accordingly. Also, don't provide your order details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AU"
2902586,803934,What a great surprise longing into my bank account and finding an unknown charge of $50 from amazon prime 🙃👌🏼,2902585,"Oh no! I'm sorry that charge surprised you, Sharon. If you'd like to cancel you may follow the steps here: [LINK] ^VF"
863826,325141,Hey are you using drones already or did you just hire paperboys to deliver your packages? [LINK],863825,I'm sorry for the frustration! Can you please let us know who the carrier was? Found here: [LINK] ^AC
1041704,693573,"Cuales son las ofertas? Solo más anuncios y nada de productos, así como que no sabe uno nada!",2412601,"Alfre, las ofertas del Buen Fin están cerca. Todas las novedades serán anunciadas en el Sitio Web, puedes mantenerte al tanto :) ^VL"
2877787,308340,Shared details for the 3rd time. I hope you get this time. Attached snapshot for your reference [LINK],2877788,Thanks for the heads up. We will check and get back to you with an update. ^AH
2386354,271571,"No chance, Hermes are an absolute waste of space their customer service takes no responsibility for their drivers or deliveries [LINK]",2386353,Please reach out to us directly and we will do our best to look into this for you. [LINK] ^CR
2672283,752407,Again another order refused by on-ground delivery agent and he's switched off his phone. Order ID 402-2800731-4148319.,2672284,"Have you reported this to our support team? If no, contact us here: [LINK] so we can assist you. 1/2 ^PJ"
2281368,663154,had to put this on my front door cos your drivers are ignorant [LINK],2281367,I'm sorry you had to put up a sign. We'd like to look into these deliveries with you. Please contact us here: [LINK] ^AF
1100629,379677,You ship perishables Internationally right? It's just chocolate but I'm worried it's gonna melt 3000 miles away. Please reply if you can,1100628,Hello! Please check here for items that are eligible for International Shipping. Happy Shopping! ^LM
2386401,398508,"Something super annoying happened last night involving , $300, and a blatant lie. It’ll be a cold day in hell b4 I order there again.",2386399,Sorry to hear it- Without providing personal info can you explain further what happened? Has this since been resolved? ^NV
419059,214950,"Why do I pay for Prime when nothing gets delivered in 2 days anymore...even when it says ""guaranteed"" ... #InternetWalmart",419058,I'm sorry for any inconvenience! We'd like to help if we can. Is this in regard to a current order: [LINK] ^GM
1356298,436243,pq minha conta foi bloqueada??????/???/?,1356296,"Olá Cris,sinto muito pelo inconveniente. Você recebeu algum email com instruções para desbloquear a conta? ^MB"
2817815,785460,それにしてもamazon〜☺️感動！ 沖縄だからか、品揃えが悪くて探し回るものとかあるから😂 他にも欲しかったものも買えて満足◎,2817814,(*´-`).｡oO（感動していただけるなんて嬉しいです♪ またいつでもご利用くださいませ～！）TN
1014270,359998,"apparently several residents in this apartment complex received ""delivered"" notification yesterday. But no packages",1014271,"Oh no! If you didn't receive your package, can you please tell us who the carrier was? Found here: [LINK] ^AC"
240147,173036,"Please define the earliest? Give me a final deadline, I have been getting many.",240148,I understand the urgency. Our team is actively working on this. We'll get back to you shortly. Appreciate your patience. ^ST
2501917,713652,"Can you update the #Kindle app to organize books on multiple visible bookshelves, almost like folders for apps? I'd like to organize the books in my digital library better",2501915,"Our Kindle team would love to hear your feedback! To let them know what you'd like to see, please e-mail them directly at __email__ ^MB"
2067271,611311,me ajuda pelo amor de DEUS,2067270,"Olá Querildo, como podemos te ajudar hoje? ^VL"
603196,263286,You have missed the delivery date for my last 3 packages. I have one now saying delivering today but it hasn’t even shipped.,603194,"Apologies both for missing the mark and letting you down. We always want the best experience for our customers. Please keep us posted on delivery! If anything changes with your order, you can review communications here: [LINK] ^FD"
91352,135810,"Enfin, c’est ps trop tôt ! Parcontre je fait comment je vais devoir encore attendre une semaine de votre faute alors quel devais arriver demain?? [LINK]",91353,"Comme expliqué précédemment, ma collègue prendra contact avec vous après avoir étudié votre dossier."
247470,158281,custumers care service daily says wait for one day more . for how much day i have to wait?,247472,Sorry about the stretch. Please share your details here: [LINK] We'll help you further. ^BS
701425,199122,is only ecommercesite which in india which not returnng mony from to customr bank a/c Very unsafe wallet to keep money,701424,We have responded to this query here: [LINK] Kindly check. ^RI
320851,192442,Your kidding! So thursday Friday not business days? I must get job w y’all if Monday Tuesday Wednesday ur only business days! #3dayworkweek,320852,Some items may be unavailable to ship immediately. We aim to meet the date given to you in your confirmation e-mail. ^KP
1552998,480500,"Just in case I'm not being clear, I just want to know where my stuff is. This week is bad enough without having stuff not show up.",1552996,I can understand your concern. Have we missed the delivery date shown in the confirmation e-mail: [LINK] ^CL
609418,264867,Thanks. First time error. Apologies,609420,"We'd like to help, could you please confirm if your issue is been addressed? If not, kindly fill in your details here: [LINK] We'll look into this for you. ^RB"
1085465,376052,"Not providing me the option, is it because they’re still preparing the order?",1085467,"That's correct. If there is an issue with the address, you can contact us for other options: [LINK] ^KB"
122788,143396,eu te amo!,122787,Oi Leticiaaaa! Nós também te amamos! 😍 ^JJ
2840112,148053,That the items are going to be resent to be delivered tomorrow but I can't wait in all day tomorrow so no doubt I won't get my items either. I'm a Prime member and these were ordered Friday. Where's the next day delivery service gone?,2840114,"I'm so sorry for the frustrating experience, Carrie! We want to make sure you receive your order. Please keep us posted and let us know the resent parcel isn't received tomorrow by 21:00. ^MJ"
2263211,658862,こんにちは。質問なのですが、同居している父がAmazonMasterCardゴールドのプライム会員なので、家族会員にしてもらおうとした所、 Amazonプライムの管理情報をいくら探しても招待状を送る欄がありません。 どこを探したら見つかりますか？,2263212,お客様の操作環境ですが、アプリやモバイルサイトにて操作されておりますか？ アプリやモバイルサイトの場合には、機能が制限されているため表示されない可能性がございます。そのため、恐れ入りますが、PCサイトにて今一度ご確認いただければと存じます。TY
15678,119448,"Dear #Amazon #GlobalStore. 50 days, No delivery, No response. [LINK]",15679,Sorry to know the shipment hasn't been delivered yet. Please reply to the email received from us and we shall 1/2 ^SH
2722602,149078,can i get some help with my amazon account please,2722600,"Hi Casey, We'd be happy to help. Without sharing any personal/account info please let us know what the problem is? ^KK"
2482387,709244,sync across devices doesn’t work.,2482385,Thank you for reaching out. We'd like to help. What devices are you trying to sync across? Are you getting an error? ^KB
2279407,667902,Scorpion,2301332,"Olá Adriano, acho genial Scorpion! 😍^DA"
515240,238677,Thanks for the silent treatment. Amazon is a waste of money. Shop in stores !!!!,515241,"Apologies for not replying to you Jennifer, were you advised why the parcel hasn't shipped yet?^MA"
